name,version
GLIBC,2.2.5
GLIBC,2.3
GLIBC,2.14
GLIBC,2.8
GLIBC,2.4
GLIBC,2.7
GLIBC,2.30
GLIBC,2.3.4
GLIBC,2.15
GLIBC,2.25
GLIBC,2.3.2
GLIBC,2.17
GLIBC,2.16
OPENSSL,1
GLIBC,2.3.3
ZLIB,1.2.0
ZLIB,1.2.0.2
ZLIB,1.2.0.8
ZLIB,1.2.2
ZLIB,1.2.2.3
ZLIB,1.2.2.4
ZLIB,1.2.3.3
ZLIB,1.2.3.4
ZLIB,1.2.3.5
ZLIB,1.2.5.1
ZLIB,1.2.5.2
ZLIB,1.2.7.1
ZLIB,1.2.9
GLIBC,2.9
k5crypto,3
krb5support,0
GLIBC,2.27
krb5,3
GLIBC,2.2.6
GLIBC,2.5
GLIBC,2.6
GLIBC,2.10
GLIBC,2.11
GLIBC,2.12
GLIBC,2.13
GLIBC,2.18
GLIBC,2.22
GLIBC,2.23
GLIBC,2.24
GLIBC,2.26
GLIBC,2.28
GLIBC,2.29
GLIBC,2.31
KEYUTILS,1.0
KEYUTILS,1.5
KEYUTILS,0.3
KEYUTILS,1.3
KEYUTILS,1.4
KEYUTILS,1.6
KEYUTILS,1.7
KEYUTILS,1.8
